facility_id,company,facility_name,product_type,product,status,city,state,country,latitude,longitude,hq_country,workforce,production_capacity_raw,production_units,brief_profile,supply_chain_segment,material_keywords,capacity_source,supplier_concentration,import_dependency,import_origin_region,lead_time_weeks
1003,Albemarle Corporation,"Albemarle Corporation, Silver Peak NV",Cathode raw materials,Lithium carbonate - crude,Commercial,Silver Peak,Nevada,US,37.740208,-117.792319,US,75,5000,MT contained Li/yr,"Albemarle is a chemical company that provides lithium carbonate and lithium hydroxide as cathode precursors, lithium bis-(oxalato)borate for liquid electrolytes, and lithium sulfide as a solid electrolyte.",Upstream,lithium,naatbatt,False,False,"{""lithium"": ""Nevada""}",14
1004,Albemarle Corporation,"Albemarle - Kings Mountain, NC",Cathode raw materials,Lithium hydroxide - crude,Commercial,Kings Mountain,North Carolina,US,35.2204657358747,-81.3416526754922,US,170,5500,MT contained Li/yr,"Albemarle is a chemical company that provides lithium carbonate and lithium hydroxide as cathode precursors, lithium bis-(oxalato)borate for liquid electrolytes, and lithium sulfide as a solid electrolyte.",Upstream,lithium,naatbatt,False,False,"{""lithium"": ""North Carolina""}",14
1015,Compass Minerals,"Salt, SOP and Magnesium Chloride Plants",Direct lithium extraction,Lithium,Commercial,Ogden,Utah,US,41.2835822648447,-112.226727704075,US,400,11000,MT contained Li/yr,Compass Minerals is a leading provider of essential minerals and is expanding its portfolio to include lithium extraction.,Upstream,lithium,naatbatt,False,False,"{""lithium"": ""Utah""}",14
1018,Eagle Graphite,Black Crystal Graphite Quarry,Anode raw materials,Natural graphite,Commercial,Slocan Park,British Columbia,Canada,49.5296673163803,-117.613206249377,Canada,8,2500,MT,"Eagle Graphite is a mining company producing battery-grade graphite from its Black Crystal Quarry in British Columbia, Canada.",Upstream,graphite,naatbatt,False,False,"{""graphite"": ""British Columbia""}",15
1025,G6 Energy Corp,Kearney Mine,Anode raw materials,Natural graphite,Commercial,Kearney,Ontario,Canada,45.6316667429544,-79.1151241592956,Canada,20,48000,MT contained graphite/yr,"G6 Energy Corp. is a private  company based in Toronto, Ontario that is developing a fully integrated natural graphite anode material producer.",Upstream,graphite,naatbatt,False,False,"{""graphite"": ""Ontario""}",15
1026,GKN Hoeganaes Gallatin,GKN Hoeganaes Gallatin,Cathode raw materials,Iron powder,Commercial,Gallatin,Tennessee,US,36.3722062894531,-86.4224575576703,UK,220,250000,MT/year,"GKN Hoeganaes Gallatin specializes in water-atomized iron powder production and material manufacturing for a variety of industries. With seven manufacturing facilities, it provides localized supply and support to customers worldwide.",Upstream,,naatbatt,False,False,{},12
1027,Glencore,Raglan Mine,Cathode raw materials,Nickel concentrates,Commercial,Rouyn-Noranda,Quebec,Canada,48.2138169140466,-78.8283340022725,Switzerland,640,40000,MT contained Ni/yr,"Glencore is one of the world’s largest global diversified natural resource companies and a major producer of more than 60 commodities, including nickel and cobalt for the lithium-ion supply chain. ",Upstream,nickel,naatbatt,False,False,"{""nickel"": ""Quebec""}",14
1028,Glencore,Raglan Mine,Cathode raw materials,Cobalt concentrates,Commercial,Rouyn-Noranda,Quebec,Canada,48.2138169140466,-78.8283340022725,Switzerland,640,827,MT contained Co/yr,"Glencore is one of the world’s largest global diversified natural resource companies and a major producer of more than 60 commodities, including nickel and cobalt for the lithium-ion supply chain. ",Upstream,cobalt,naatbatt,True,False,"{""cobalt"": ""Quebec""}",17
1029,Glencore,Glencore Sudbury INO,Cathode raw materials,Nickel matte,Commercial,Sudbury,Ontario,Canada,46.5869311328918,-80.7699224862622,Switzerland,600,75695,MT contained metal/yr,"Glencore is one of the world’s largest global diversified natural resource companies and a major producer of more than 60 commodities, including nickel and cobalt for the lithium-ion supply chain. ",Upstream,nickel,naatbatt,False,False,"{""nickel"": ""Ontario""}",14
1030,Glencore,Glencore Sudbury INO,Cathode raw materials,Cobalt,Commercial,Sudbury,Ontario,Canada,46.5869311328918,-80.7699224862622,Switzerland,600,400,MT contained metal/yr,"Glencore is one of the world’s largest global diversified natural resource companies and a major producer of more than 60 commodities, including nickel and cobalt for the lithium-ion supply chain. ",Upstream,cobalt,naatbatt,True,False,"{""cobalt"": ""Ontario""}",17
